file_path,label
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.1.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.10.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.11.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.12.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.13.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.14.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.15.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.16.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.17.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.18.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.19.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.2.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.20.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.21.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.22.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.23.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.24.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.25.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.26.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.27.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.28.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.29.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.3.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.30.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.31.jpg,dataSet
C:\Users\sidra\OneDrive\Desktop\d-final-face\dataSet\Ali Hassan.4.32.jpg,dataSet
